epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,179.24,1.08774,0.66804,1.0789,0.9484,0.91203,0.98415,0.68787,1.17747,0.79212,1.04787,0.00123094,0.00123094,0.00123094
44,183.49,1.00241,0.56513,1.01742,0.9897,1,0.995,0.72005,1.0848,0.57217,1.00956,0.00122622,0.00122622,0.00122622
45,187.777,1.02989,0.64597,1.02502,0.97831,1,0.995,0.67871,1.26004,0.57704,1.06484,0.00122151,0.00122151,0.00122151
46,191.668,1.02152,0.60692,1.03172,0.98352,1,0.995,0.73117,1.12108,0.54376,1.03076,0.00121679,0.00121679,0.00121679
47,195.933,1.04985,0.57254,1.0796,0.98467,1,0.995,0.72866,1.11715,0.53171,1.0368,0.00121208,0.00121208,0.00121208
48,199.779,1.01638,0.59482,1.04132,0.98684,1,0.995,0.76085,0.99918,0.52839,0.97794,0.00120736,0.00120736,0.00120736
49,204.064,1.02468,0.60536,1.02945,0.98678,1,0.995,0.71853,1.18565,0.57698,1.07032,0.00120265,0.00120265,0.00120265
50,207.933,1.06579,0.60514,1.06977,0.96336,1,0.995,0.66129,1.30965,0.63773,1.17687,0.00119793,0.00119793,0.00119793
51,211.882,1.01807,0.55989,1.05485,0.98124,1,0.995,0.66377,1.37387,0.67238,1.17277,0.00119322,0.00119322,0.00119322
52,215.778,1.00415,0.58827,1.04997,0.96967,1,0.995,0.60672,1.50457,0.65134,1.21772,0.0011885,0.0011885,0.0011885
53,219.599,0.96355,0.60895,1.01868,0.98926,1,0.995,0.69561,1.26882,0.60386,1.08985,0.00118378,0.00118378,0.00118378
54,223.348,1.04273,0.66996,1.05004,0.93725,1,0.995,0.67812,1.27735,0.66527,1.05726,0.00117907,0.00117907,0.00117907
55,227.181,0.99565,0.6096,1.0506,0.95433,1,0.995,0.72981,1.04323,0.5925,0.98324,0.00117435,0.00117435,0.00117435
56,230.905,1.02893,0.59828,1.04577,0.98989,1,0.995,0.68187,1.28813,0.50903,1.09591,0.00116964,0.00116964,0.00116964
57,234.598,0.92944,0.57371,0.99781,0.9902,1,0.995,0.67779,1.24144,0.50236,1.08557,0.00116492,0.00116492,0.00116492
58,238.347,1.02341,0.5493,1.06202,0.98679,1,0.995,0.63661,1.39406,0.57657,1.15827,0.00116021,0.00116021,0.00116021
59,242.297,0.99682,0.57186,1.07288,0.96983,0.99743,0.995,0.65902,1.28936,0.59784,1.07614,0.00115549,0.00115549,0.00115549
60,246.147,1.0592,0.60997,1.03809,0.98452,0.8954,0.91384,0.63054,1.2865,0.71472,1.06445,0.00115077,0.00115077,0.00115077
61,250.085,1.09769,0.58983,1.09974,0.97809,0.91249,0.94646,0.62637,1.31086,0.66345,1.07197,0.00114606,0.00114606,0.00114606
62,254.036,0.97886,0.60274,1.01422,0.98143,0.91667,0.955,0.70896,1.06082,0.60243,0.99064,0.00114134,0.00114134,0.00114134
63,257.951,0.95083,0.63717,1.00216,0.94691,0.9699,0.96833,0.7325,1.05961,0.58504,0.97924,0.00113663,0.00113663,0.00113663
64,261.824,1.03451,0.58366,1.05769,0.98482,0.88889,0.885,0.65809,1.09334,1.0357,0.99291,0.00113191,0.00113191,0.00113191
65,265.657,0.99354,0.5561,1.01209,0.95299,0.81508,0.91323,0.64333,1.16561,0.8059,1.05789,0.0011272,0.0011272,0.0011272
66,269.631,0.99136,0.55239,1.04654,0.90238,0.80462,0.89796,0.66511,1.14281,1.0187,1.04125,0.00112248,0.00112248,0.00112248
67,273.552,1.01711,0.54212,1.02134,0.95028,0.91667,0.91167,0.62408,1.27208,0.87226,1.12301,0.00111776,0.00111776,0.00111776
68,277.693,1.01716,0.55579,1.04859,0.97326,0.88677,0.885,0.68412,1.01687,0.8669,1.0045,0.00111305,0.00111305,0.00111305
69,281.96,0.94986,0.56369,0.99662,0.96568,0.88547,0.891,0.65474,1.08521,0.84856,1.049,0.00110833,0.00110833,0.00110833
70,286.322,0.97937,0.57097,1.01493,0.98015,0.94444,0.94233,0.68661,1.08627,0.5696,1.02105,0.00110362,0.00110362,0.00110362
71,290.711,0.99818,0.61769,1.02674,0.94955,1,0.995,0.72028,1.09069,0.50862,0.99751,0.0010989,0.0010989,0.0010989
72,295.054,0.93127,0.54847,1.02833,0.99107,1,0.995,0.71889,1.225,0.49694,1.05994,0.00109419,0.00109419,0.00109419
73,299.451,0.95841,0.56572,1.01714,0.98708,1,0.995,0.67715,1.29691,0.55552,1.1105,0.00108947,0.00108947,0.00108947
74,303.784,1.02118,0.57261,1.04205,0.98939,1,0.995,0.58657,1.48907,0.57454,1.20481,0.00108475,0.00108475,0.00108475
75,308.124,1.03556,0.55052,1.03545,0.99219,1,0.995,0.6513,1.34282,0.55383,1.08647,0.00108004,0.00108004,0.00108004
76,312.35,0.95286,0.57001,1.02554,0.9468,0.99789,0.995,0.67791,1.26214,0.54934,1.07057,0.00107532,0.00107532,0.00107532
77,316.621,1.0132,0.53678,1.03326,0.96469,1,0.995,0.7322,1.0752,0.50635,0.99783,0.00107061,0.00107061,0.00107061
78,320.883,0.9693,0.5204,1.00163,0.99018,1,0.995,0.69864,1.19977,0.49342,1.05404,0.00106589,0.00106589,0.00106589
79,325.176,0.96229,0.52113,1.00599,0.99155,1,0.995,0.65967,1.21968,0.48835,1.06638,0.00106118,0.00106118,0.00106118
80,329.393,0.94828,0.52018,0.99475,0.99177,1,0.995,0.65096,1.41202,0.53259,1.15876,0.00105646,0.00105646,0.00105646
81,333.597,0.95115,0.50101,1.01223,0.99089,1,0.995,0.72841,1.07996,0.48354,0.99425,0.00105174,0.00105174,0.00105174
82,337.802,0.90362,0.47543,1.00187,0.99088,1,0.995,0.70298,1.09908,0.46708,1.00124,0.00104703,0.00104703,0.00104703
83,342.071,0.94162,0.50978,1.02582,0.98466,1,0.995,0.76129,0.94728,0.43805,0.94073,0.00104231,0.00104231,0.00104231
84,346.806,0.94214,0.509,1.00216,0.99061,1,0.995,0.76462,1.00954,0.43829,0.96819,0.0010376,0.0010376,0.0010376
85,351.439,0.91642,0.47727,0.97393,0.99017,1,0.995,0.73043,1.10012,0.45462,1.01024,0.00103288,0.00103288,0.00103288
86,355.656,0.92978,0.48575,1.01414,0.99215,1,0.995,0.72562,1.0618,0.45485,1.01737,0.00102817,0.00102817,0.00102817
87,359.891,0.95333,0.52493,1.01702,0.98664,1,0.995,0.73705,1.06675,0.51736,1.0169,0.00102345,0.00102345,0.00102345
88,364.314,0.96461,0.48962,1.01479,0.99163,1,0.995,0.69613,1.29411,0.52647,1.10181,0.00101873,0.00101873,0.00101873
89,368.63,0.97242,0.50086,1.00734,0.97337,1,0.995,0.6795,1.256,0.52846,1.10871,0.00101402,0.00101402,0.00101402
90,372.931,0.89918,0.48445,0.98525,0.99115,1,0.995,0.7185,1.19402,0.50349,1.05226,0.0010093,0.0010093,0.0010093
91,377.356,1.03322,0.49953,1.04161,0.9855,1,0.995,0.71199,1.14775,0.48145,1.02227,0.00100459,0.00100459,0.00100459
92,381.661,0.90808,0.50715,1.00876,0.99055,1,0.995,0.71924,1.13166,0.48515,1.03221,0.000999871,0.000999871,0.000999871
93,385.704,0.90851,0.48392,1.02187,0.9915,1,0.995,0.75839,1.00819,0.43257,0.96416,0.000995156,0.000995156,0.000995156
94,389.772,0.93324,0.48751,1.04278,0.98332,1,0.995,0.7488,1.04364,0.40358,0.96411,0.00099044,0.00099044,0.00099044
95,394.047,0.96127,0.49934,1.00485,0.99159,1,0.995,0.69481,1.16411,0.44508,1.02676,0.000985724,0.000985724,0.000985724
96,398.419,0.9788,0.47952,1.01553,0.98865,1,0.995,0.73869,1.02808,0.442,0.97344,0.000981008,0.000981008,0.000981008
97,402.58,0.91539,0.48166,0.98414,0.98838,1,0.995,0.71158,1.144,0.4474,1.01452,0.000976293,0.000976293,0.000976293
98,406.719,0.91912,0.48914,1.00909,0.99405,1,0.995,0.68025,1.23939,0.47421,1.09305,0.000971577,0.000971577,0.000971577
99,410.928,0.90265,0.49999,1.01256,0.98339,1,0.995,0.60547,1.49975,0.52695,1.25982,0.000966861,0.000966861,0.000966861
100,415.356,0.88706,0.49458,0.98853,0.99029,1,0.995,0.6695,1.25218,0.50253,1.0841,0.000962146,0.000962146,0.000962146
101,419.955,0.99331,0.5274,1.0188,0.98998,1,0.995,0.71894,1.12389,0.46691,1.02467,0.00095743,0.00095743,0.00095743
