epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,802.701,0.82193,0.40364,0.93766,0.98857,0.9597,0.995,0.68709,1.19838,0.53402,1.1307,0.00104231,0.00104231,0.00104231
43,821.3,0.81077,0.40094,0.92983,0.87978,0.94985,0.97222,0.65798,1.15876,0.64454,1.13147,0.00103288,0.00103288,0.00103288
44,840.285,0.80107,0.39677,0.92399,0.98267,0.95729,0.995,0.70991,1.16054,0.60688,1.21981,0.00102345,0.00102345,0.00102345
45,859.771,0.79076,0.38925,0.91299,0.95313,1,0.995,0.69958,1.15528,0.49355,1.22432,0.00101402,0.00101402,0.00101402
46,878.48,0.76639,0.38524,0.91146,0.98096,0.95981,0.995,0.66922,1.2386,0.55256,1.19157,0.00100459,0.00100459,0.00100459
47,897.351,0.78107,0.38311,0.92069,0.90107,1,0.98167,0.71464,1.12038,0.52643,1.09055,0.000995156,0.000995156,0.000995156
48,916.414,0.78029,0.38153,0.91426,0.90966,0.85391,0.93222,0.6727,1.18662,0.57626,1.29337,0.000985724,0.000985724,0.000985724
49,935.01,0.77701,0.37793,0.91147,0.98901,0.93772,0.98738,0.59781,1.4667,0.60584,1.36702,0.000976293,0.000976293,0.000976293
50,953.734,0.77331,0.37517,0.91117,0.91075,0.99604,0.97929,0.65683,1.30619,0.53834,1.33464,0.000966861,0.000966861,0.000966861
51,972.453,0.74781,0.37287,0.90909,0.9444,0.99695,0.98738,0.70319,1.21753,0.55999,1.26971,0.00095743,0.00095743,0.00095743
52,991.196,0.76937,0.37778,0.90793,0.89171,0.88889,0.91361,0.66632,1.17624,0.61435,1.26251,0.000947999,0.000947999,0.000947999
53,1010.17,0.76666,0.37683,0.90486,0.93032,1,0.98738,0.68031,1.28448,0.56904,1.29624,0.000938567,0.000938567,0.000938567
54,1029.59,0.7497,0.37403,0.90531,0.92159,0.89528,0.93644,0.63996,1.31821,0.54878,1.33028,0.000929136,0.000929136,0.000929136
55,1048.44,0.72887,0.36155,0.89725,0.98441,1,0.995,0.72726,1.07927,0.53486,1.17582,0.000919704,0.000919704,0.000919704
56,1067.67,0.73124,0.35836,0.89501,0.92167,0.94886,0.97929,0.6951,1.28743,0.53468,1.31546,0.000910273,0.000910273,0.000910273
57,1086.51,0.72356,0.35728,0.89915,0.85937,0.9678,0.97722,0.68651,1.21551,0.59826,1.22699,0.000900842,0.000900842,0.000900842
58,1105.21,0.73141,0.35989,0.9054,0.90631,0.94444,0.94167,0.69759,1.15815,0.4804,1.29624,0.00089141,0.00089141,0.00089141
59,1124.51,0.72658,0.35323,0.89545,0.92235,0.88889,0.91444,0.69553,1.14148,0.53945,1.25577,0.000881979,0.000881979,0.000881979
60,1143.82,0.71081,0.35089,0.88915,0.93501,0.94444,0.96278,0.67618,1.32628,0.5068,1.3773,0.000872547,0.000872547,0.000872547
61,1162.88,0.70943,0.34868,0.88937,0.9899,1,0.995,0.70869,1.24867,0.47259,1.24906,0.000863116,0.000863116,0.000863116
62,1181.87,0.69233,0.35113,0.88128,0.93027,0.94444,0.94167,0.71025,1.13807,0.45446,1.28149,0.000853685,0.000853685,0.000853685
63,1200.85,0.69619,0.34712,0.88836,0.93183,0.94444,0.97222,0.70672,1.1087,0.46829,1.2407,0.000844253,0.000844253,0.000844253
64,1219.83,0.67434,0.34235,0.88204,0.96819,0.94444,0.98167,0.69425,1.27196,0.48758,1.30193,0.000834822,0.000834822,0.000834822
65,1238.73,0.68407,0.33623,0.87484,0.92792,0.92119,0.97222,0.691,1.174,0.49209,1.28777,0.00082539,0.00082539,0.00082539
66,1257.94,0.6889,0.34476,0.88707,0.93372,0.94444,0.97722,0.70979,1.19929,0.46926,1.31018,0.000815959,0.000815959,0.000815959
