epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,601.294,0.82971,0.4032,0.95304,0.97019,0.98336,0.995,0.73458,1.1059,0.42045,1.05288,0.00122622,0.00122622,0.00122622
45,614.662,0.84164,0.39716,0.95556,0.98784,1,0.995,0.78469,0.96789,0.38389,0.9792,0.00122151,0.00122151,0.00122151
46,627.996,0.8163,0.38712,0.95037,0.99041,1,0.995,0.76167,1.03221,0.40107,0.9682,0.00121679,0.00121679,0.00121679
47,641.187,0.77172,0.37584,0.93398,0.98974,1,0.995,0.71008,1.12682,0.41756,1.0495,0.00121208,0.00121208,0.00121208
48,654.334,0.79816,0.38494,0.94812,0.98873,1,0.995,0.76656,0.98667,0.3652,0.96899,0.00120736,0.00120736,0.00120736
49,667.622,0.79171,0.3814,0.9378,0.9919,1,0.995,0.75106,1.04847,0.37731,1.00216,0.00120265,0.00120265,0.00120265
50,680.92,0.79084,0.37746,0.92947,0.98897,1,0.995,0.72108,1.10763,0.4013,1.0575,0.00119793,0.00119793,0.00119793
51,693.897,0.81692,0.3875,0.95581,0.98881,1,0.995,0.69123,1.24215,0.41682,1.13052,0.00119322,0.00119322,0.00119322
52,706.933,0.78481,0.37636,0.93276,0.99138,1,0.995,0.75716,0.9559,0.34681,0.96383,0.0011885,0.0011885,0.0011885
53,720.15,0.77074,0.37445,0.93226,0.97916,1,0.995,0.73649,1.05495,0.38124,0.98701,0.00118378,0.00118378,0.00118378
54,733.119,0.7925,0.38497,0.92819,0.9894,1,0.995,0.75806,1.02065,0.36819,1.00783,0.00117907,0.00117907,0.00117907
55,746.073,0.77209,0.37414,0.93701,0.98793,1,0.995,0.77894,0.93348,0.34185,0.94805,0.00117435,0.00117435,0.00117435
56,759.025,0.77746,0.37211,0.92241,0.98831,1,0.995,0.77389,0.96883,0.37275,0.95962,0.00116964,0.00116964,0.00116964
57,772.22,0.77293,0.37694,0.92781,0.9795,1,0.995,0.75753,0.97999,0.37904,1.0004,0.00116492,0.00116492,0.00116492
58,785.553,0.78052,0.37687,0.9256,0.99018,1,0.995,0.72819,1.14314,0.37152,1.0412,0.00116021,0.00116021,0.00116021
59,799.175,0.786,0.36564,0.92461,0.98682,1,0.995,0.70644,1.12678,0.39117,1.06868,0.00115549,0.00115549,0.00115549
60,812.665,0.77038,0.37253,0.92088,0.99213,1,0.995,0.74941,1.00781,0.38115,0.99665,0.00115077,0.00115077,0.00115077
61,825.852,0.72855,0.36527,0.91105,0.99041,1,0.995,0.75937,1.02012,0.37419,0.9846,0.00114606,0.00114606,0.00114606
